iter	RMSE
0	0.3914333125
1	0.3838220432
2	0.3763658059
3	0.3696402781
4	0.3627046254
5	0.3555560138
6	0.3487704387
7	0.3429735397
8	0.3374508722
9	0.3312795904
10	0.32554263
11	0.3196898584
12	0.3145577751
13	0.3092726888
14	0.3038290406
15	0.2987329396
16	0.2937162773
17	0.2887950252
18	0.2841856313
19	0.2798022789
20	0.2753908076
21	0.270984831
22	0.2667466755
23	0.263055142
24	0.2591772785
25	0.2553234083
26	0.2517370031
27	0.2481820452
28	0.2446622749
29	0.2414394654
30	0.2381196202
31	0.2352026302
32	0.2322360661
33	0.2292478185
34	0.2265549392
35	0.2236706093
36	0.2206921257
37	0.2179086311
38	0.2152405877
39	0.2126423234
40	0.2102685799
41	0.2078161585
42	0.2055403235
43	0.2030459509
44	0.2008056345
45	0.1986438247
46	0.196490903
47	0.1944653874
48	0.1923822681
49	0.1902692816
50	0.1881248877
51	0.186488097
52	0.1847968112
53	0.1830806505
54	0.18175638
55	0.1800017462
56	0.1785874868
57	0.1770777823
58	0.1754825873
59	0.1742807946
60	0.1730119454
61	0.1716670235
62	0.1704888979
63	0.1691555247
64	0.1677805664
65	0.1663669643
66	0.1649909684
67	0.1639499532
68	0.1627894481
69	0.1616150126
70	0.1605451379
71	0.159401491
72	0.1582918346
73	0.1572794254
74	0.1561086676
75	0.1551172408
76	0.154187003
77	0.1533132378
78	0.1523923539
79	0.1514829367
80	0.1504470975
81	0.1495666229
82	0.1486004786
83	0.1477766417
84	0.1470162529
85	0.1463321526
86	0.1455587736
87	0.1449304451
88	0.1441946301
89	0.1436268867
90	0.1428437431
91	0.1421687303
92	0.1415383145
93	0.1408579318
94	0.1402564899
95	0.1397181177
96	0.1391214383
97	0.1384602117
98	0.1377453079
99	0.1370510563
100	0.1365023902
101	0.1360080949
102	0.1353226789
103	0.1347774485
104	0.1343375312
105	0.1336981803
106	0.1331395145
107	0.1325720874
108	0.1320774208
109	0.1314107135
110	0.1309871416
111	0.1305867516
112	0.1301355475
113	0.1297348865
114	0.1292587517
115	0.1287747461
116	0.1282478634
117	0.1276503152
118	0.1270672312
119	0.1266728488
120	0.1262865199
121	0.1260280282
122	0.1256196444
123	0.1252580318
124	0.1249031568
125	0.1244819827
126	0.1240792966
127	0.1237178852
128	0.1232790206
129	0.1228257924
130	0.1223915548
131	0.1220378674
132	0.1215787984
133	0.1212452408
134	0.1208857063
135	0.1205210645
136	0.1201228219
137	0.1197780776
138	0.1194247134
139	0.1190826448
140	0.1188142503
141	0.1185617514
142	0.1181755713
143	0.1179696361
144	0.1176318187
145	0.1173913816
146	0.1170268866
147	0.1167024576
148	0.1163964429
149	0.1161913168
150	0.1160370766
151	0.115797306
152	0.1154481703
153	0.1151972916
154	0.1149696182
155	0.1146904317
156	0.1143796302
157	0.1140843835
158	0.1138140048
159	0.113518765
160	0.1132580149
161	0.1130302176
162	0.112684173
163	0.1124230773
164	0.1121476086
165	0.1118789916
166	0.1116217258
167	0.1115729442
168	0.1113759141
169	0.1111262765
170	0.1109281488
171	0.1106631275
172	0.1103899254
173	0.1100914838
174	0.1098224094
175	0.1095956113
176	0.1093786112
177	0.1091300122
178	0.1088949711
179	0.1087826181
180	0.1086017352
181	0.108399803
182	0.1081834203
183	0.1079813356
184	0.1077797131
185	0.107656876
186	0.1075141799
187	0.1072817574
188	0.1070857434
189	0.1069467094
190	0.1067626844
191	0.1065341683
192	0.1063401186
193	0.1061473811
194	0.1059982424
195	0.1058652067
196	0.1056981888
197	0.1055450071
198	0.1053967835
199	0.1052779788
200	0.1051112693
201	0.1049232719
202	0.1047244057
203	0.1045637344
204	0.1043896828
205	0.1043070413
206	0.1041607914
207	0.1040948673
208	0.1039334631
209	0.1038159576
210	0.1036339341
211	0.1034735485
212	0.1033118711
213	0.1031392527
214	0.1029937365
215	0.1028521757
216	0.1026938579
217	0.1025435977
218	0.1024117246
219	0.1022606653
220	0.1021735844
221	0.1020472155
222	0.10191895
223	0.1017827976
224	0.1016505969
225	0.1015135523
226	0.101420732
227	0.1012474314
228	0.1011181792
229	0.1009463085
230	0.1008506352
231	0.1006451956
232	0.1005301143
233	0.1004170326
234	0.1003067397
235	0.1001785913
236	0.1000381436
237	0.09988879588
238	0.09976601184
239	0.09962325309
240	0.09945369226
241	0.09927845259
242	0.09915678608
243	0.0990183144
244	0.09885498982
245	0.098751544
246	0.0986529487
247	0.09849721142
248	0.09835114111
249	0.09819097753
250	0.09800258551
251	0.09788071201
252	0.09772179152
253	0.09762185372
254	0.09749912721
255	0.0973903928
256	0.09720975678
257	0.0970963168
258	0.09693223268
259	0.09679930876
260	0.09665080143
261	0.09646193768
262	0.09632026571
263	0.09615858038
264	0.09602175359
265	0.09588626384
266	0.09575576443
267	0.0956587124
268	0.09556698509
269	0.09543663908
270	0.09532605546
271	0.09520527628
272	0.09510036624
273	0.09498306772
274	0.09489802065
275	0.09479402268
276	0.09470064494
277	0.0945719985
278	0.09442355084
279	0.09428554275
280	0.09413394422
281	0.09400891971
282	0.09388694532
283	0.09369944629
284	0.09356857361
285	0.09343866734
286	0.09328266172
287	0.09314434216
288	0.09299871518
289	0.09289843568
290	0.09278731
291	0.09265691436
292	0.09257284392
293	0.09246616874
294	0.09235411657
295	0.09221447823
296	0.09210376011
297	0.09201081968
298	0.09191949497
299	0.09180910158
300	0.091699953
301	0.09157988772
302	0.09153196781
303	0.09144202169
304	0.09134492685
305	0.09121664296
306	0.091108417
307	0.09099170727
308	0.09091530033
309	0.09078379466
310	0.09069240276
311	0.09061213769
312	0.09054711594
313	0.09042712596
314	0.09031763675
315	0.09013913948
316	0.09007352537
317	0.09001533988
318	0.08984394205
319	0.08966603567
320	0.08961995477
321	0.08951257052
322	0.08940054159
323	0.08924869058
324	0.0891232327
325	0.08903641294
326	0.08897659777
327	0.08888824771
328	0.08876407048
329	0.08862020199
330	0.08853249102
331	0.08837378597
332	0.08831842128
333	0.08821019587
334	0.0880784963
335	0.08798721204
336	0.08782532547
337	0.08774142936
338	0.08762796335
339	0.08754403432
340	0.08746933425
341	0.08735540157
342	0.08730191507
343	0.08722175265
344	0.08718513874
345	0.0871234661
346	0.08699358641
347	0.08694559362
348	0.08680529119
349	0.08668490165
350	0.08659302804
351	0.08653399705
352	0.08646792607
353	0.08638459034
354	0.08629110262
355	0.0862391623
356	0.08614857432
357	0.08610314501
358	0.08607252862
359	0.08600069396
360	0.08597643234
361	0.08586631988
362	0.08574089732
363	0.08563344803
364	0.08552968507
365	0.08543612581
366	0.08537632121
367	0.08529208868
368	0.08520221922
369	0.08508231324
370	0.0849641146
371	0.08485809877
372	0.08479813206
373	0.08467659928
374	0.08458064026
375	0.08449139363
376	0.08439140583
377	0.08428124697
378	0.08422658978
379	0.08414638089
380	0.08410240739
381	0.08405979495
382	0.08393919845
383	0.08385613836
384	0.08376745195
385	0.08365052009
386	0.08353902666
387	0.08344841136
388	0.08336926091
389	0.08327657767
390	0.08319762808
391	0.08306521545
392	0.08299187573
393	0.08294787181
394	0.08285893827
395	0.08275029945
396	0.08263307325
397	0.08254049659
398	0.08248319866
399	0.08242925218
400	0.08233128221
401	0.08230897043
402	0.08221634027
403	0.08214234916
404	0.08207252027
405	0.08199213332
406	0.0819204808
407	0.08188574014
408	0.08174724136
409	0.08171377696
410	0.08159527855
411	0.08154334783
412	0.08144356076
413	0.08138930092
414	0.08129584233
415	0.08121029374
416	0.08113215872
417	0.08103359103
418	0.08098570566
419	0.08090187629
420	0.08082125073
421	0.0807312711
422	0.08062461927
423	0.08053484892
424	0.08041699181
425	0.08028713421
426	0.08019890426
427	0.08012735941
428	0.0800485865
429	0.07994826278
430	0.07990451811
431	0.07981874623
432	0.07972874935
433	0.0796506792
434	0.07956538558
435	0.07947843523
436	0.07938041943
437	0.07925472626
438	0.07913964106
439	0.07907089478
440	0.07898460916
441	0.07890196327
442	0.07880393337
443	0.07866929475
444	0.07859060173
445	0.07855809898
446	0.0784843344
447	0.07839909138
448	0.07827665008
449	0.07821395479
450	0.07813590847
451	0.07804573374
452	0.07793722148
453	0.07787267922
454	0.07777465628
455	0.07773061345
456	0.07764090035
457	0.07760293832
458	0.07753516609
459	0.07745238593
460	0.07738882549
461	0.07731757244
462	0.07723803201
463	0.07711793797
464	0.07703979912
465	0.07702225772
466	0.07695820769
467	0.07683404625
468	0.07676681033
469	0.07669241053
470	0.07659479116
471	0.07648569301
472	0.07644348588
473	0.0763823962
474	0.07632393416
475	0.07623681063
476	0.076213005
477	0.07616621275
478	0.07609117361
479	0.07606119705
480	0.07596633613
481	0.07590375547
482	0.07584569731
483	0.07576206503
484	0.07568048386
485	0.07562385827
486	0.07558387042
487	0.07553320952
488	0.0754661279
489	0.07537435413
490	0.07530240891
491	0.07522167831
492	0.07516265719
493	0.07509925109
494	0.07502162203
495	0.07493955711
496	0.07486537666
497	0.07477398565
498	0.07470206689
499	0.07459689756
500	0.07450238431
501	0.07445648965
502	0.07436960828
503	0.07429919871
504	0.07421462253
505	0.07413262242
506	0.07411612465
507	0.07405066518
508	0.07401428227
509	0.07395376651
510	0.07384238197
511	0.0738042154
512	0.07374455658
513	0.07365541064
514	0.07359311952
515	0.07353498755
516	0.07346632605
517	0.07339991884
518	0.07335705618
519	0.07330165126
520	0.07325442575
521	0.07317606893
522	0.07310187678
523	0.07305401436
524	0.07297237385
525	0.07291969333
526	0.0728560404
527	0.07275401765
528	0.07268426297
529	0.07256990511
530	0.07248622828
531	0.07245403271
532	0.07241949114
533	0.07235481264
534	0.07228838803
535	0.07227160559
536	0.07223293719
537	0.07222294577
538	0.07218157048
539	0.07215753617
540	0.07206243494
541	0.07199988414
542	0.07194227055
543	0.07187731539
544	0.07182627912
545	0.07175062707
546	0.07167763207
547	0.07161546525
548	0.071521164
549	0.07145672089
550	0.07137540872
551	0.07129579733
552	0.07126399696
553	0.07120006101
554	0.07116441251
555	0.07111303688
556	0.07105498739
557	0.07097503745
558	0.07090363069
559	0.07083278212
560	0.07082432895
561	0.07073475159
562	0.07066888462
563	0.070573047
564	0.07045643768
565	0.07041199846
566	0.07039826225
567	0.07034258723
568	0.07028129636
569	0.07027380777
570	0.07025854809
571	0.07019763985
572	0.07013459861
573	0.0701173186
574	0.07005151047
575	0.07004463316
576	0.07003096752
577	0.06995555512
578	0.06990200772
579	0.0698755362
580	0.06980976993
581	0.06973957122
582	0.06966349872
583	0.06965562993
584	0.06959386363
585	0.06958277739
586	0.06954230107
587	0.06949217181
588	0.06944692091
589	0.06936730386
590	0.06930679321
591	0.06926174815
592	0.06920270929
593	0.06914336058
594	0.06905794909
595	0.06904796509
596	0.06899422065
597	0.06898564381
598	0.06889657999
599	0.06883472628
600	0.06876987012
601	0.06869597885
602	0.06862528766
603	0.06859549179
604	0.06858819908
605	0.06853615677
606	0.06846643702
607	0.06843830312
608	0.06836262336
609	0.06827202767
610	0.06819137044
611	0.06818035075
612	0.06817221284
613	0.0681318819
614	0.0681210875
615	0.068062698
616	0.06796879911
617	0.06790213705
618	0.06789077209
619	0.06788427278
620	0.06781803577
621	0.06773493155
622	0.06765578375
623	0.06755336081
