iter	Passed	Remaining
0	36	36135
1	38	19172
2	40	13537
3	42	10643
4	44	8884
5	46	7678
6	49	7009
7	52	6532
8	56	6202
9	61	6051
10	63	5712
11	65	5430
12	68	5178
13	70	4936
14	72	4745
15	74	4568
16	76	4419
17	78	4262
18	80	4141
19	82	4050
20	85	3981
21	88	3927
22	92	3923
23	95	3870
24	97	3802
25	99	3732
26	102	3688
27	104	3637
28	107	3598
29	109	3543
30	111	3482
31	113	3421
32	115	3376
33	116	3322
34	118	3276
35	120	3220
36	122	3182
37	124	3140
38	125	3101
39	128	3077
40	130	3052
41	133	3036
42	135	3006
43	136	2968
44	138	2935
45	139	2901
46	141	2878
47	145	2878
48	147	2858
49	149	2841
50	151	2816
51	153	2789
52	155	2770
53	156	2748
54	159	2733
55	161	2716
56	163	2705
57	165	2695
58	167	2673
59	169	2652
60	171	2637
61	173	2619
62	174	2600
63	176	2578
64	177	2559
65	180	2551
66	182	2535
67	183	2518
68	185	2502
69	187	2495
70	189	2483
71	191	2467
72	193	2451
73	194	2436
74	196	2424
75	198	2409
76	199	2396
77	201	2381
78	203	2368
79	204	2356
80	206	2344
81	208	2331
82	210	2320
83	213	2322
84	216	2335
85	219	2337
86	222	2336
87	225	2332
88	227	2327
89	230	2326
90	232	2318
91	233	2307
92	236	2304
93	238	2297
94	240	2291
95	242	2282
96	244	2274
97	246	2269
98	248	2260
99	250	2254
100	252	2245
101	254	2242
102	256	2236
103	258	2229
104	260	2223
105	262	2217
106	264	2208
107	266	2199
108	267	2189
109	269	2181
110	271	2171
111	273	2165
112	274	2157
113	276	2149
114	279	2150
115	284	2165
116	287	2170
117	290	2168
118	292	2164
119	294	2161
120	296	2156
121	299	2155
122	301	2152
123	303	2146
124	307	2152
125	310	2156
126	313	2152
127	314	2145
128	317	2145
129	319	2140
130	322	2136
131	323	2129
132	325	2121
133	327	2114
134	329	2109
135	331	2104
136	333	2097
137	334	2091
138	336	2086
139	338	2079
140	340	2075
141	342	2070
142	344	2066
143	346	2061
144	349	2063
145	352	2064
146	355	2060
147	356	2054
148	359	2055
149	361	2049
150	364	2046
151	366	2042
152	368	2041
153	372	2044
154	375	2046
155	378	2049
156	380	2045
157	383	2042
158	386	2043
159	388	2038
160	391	2037
161	393	2036
162	395	2032
163	398	2033
164	403	2042
165	406	2040
166	408	2036
167	410	2030
168	411	2024
169	417	2037
170	419	2031
171	421	2029
172	424	2026
173	426	2026
174	430	2029
175	432	2027
176	434	2020
177	436	2015
178	438	2010
179	440	2008
180	442	2003
181	445	2003
182	449	2008
183	452	2007
184	455	2007
185	461	2021
186	464	2017
187	466	2012
188	467	2007
189	470	2004
190	473	2003
191	475	2000
192	477	1994
193	479	1990
194	480	1984
195	482	1979
196	484	1975
197	486	1970
198	488	1966
199	491	1964
200	494	1964
201	497	1967
202	500	1965
203	503	1963
204	506	1963
205	508	1961
206	510	1957
207	513	1953
208	515	1949
209	516	1944
210	519	1943
211	522	1940
212	524	1937
213	526	1932
214	527	1926
215	531	1928
216	533	1924
217	535	1919
218	537	1916
219	539	1911
220	540	1905
221	542	1900
222	543	1894
223	545	1891
224	549	1893
225	554	1898
226	556	1896
227	558	1892
228	560	1887
229	563	1885
230	565	1882
231	568	1880
232	570	1877
233	572	1874
234	574	1869
235	576	1867
236	578	1863
237	580	1858
238	582	1854
239	583	1849
240	585	1845
241	587	1840
242	589	1835
243	591	1831
244	593	1829
245	596	1828
246	599	1827
247	601	1824
248	603	1820
249	605	1816
250	607	1811
251	608	1806
252	610	1802
253	612	1797
254	613	1793
255	615	1788
256	621	1796
257	627	1806
258	630	1804
259	632	1801
260	635	1798
261	636	1794
262	639	1792
263	641	1788
264	643	1784
265	644	1779
266	646	1774
267	647	1769
268	649	1764
269	651	1760
270	653	1757
271	654	1752
272	658	1753
273	660	1750
274	662	1746
275	665	1745
276	668	1745
277	670	1742
278	673	1739
279	675	1735
280	677	1733
281	679	1731
282	681	1726
283	683	1722
284	685	1719
285	686	1714
286	689	1713
287	692	1710
288	695	1710
289	697	1707
290	699	1704
291	701	1700
292	703	1696
293	705	1692
294	706	1688
295	708	1685
296	710	1682
297	713	1680
298	715	1677
299	717	1674
300	719	1671
301	721	1668
302	723	1663
303	725	1660
304	727	1656
305	728	1652
306	730	1648
307	732	1646
308	735	1645
309	737	1642
310	739	1638
311	741	1635
312	743	1631
313	745	1628
314	746	1623
315	748	1620
316	751	1618
317	753	1615
318	754	1611
319	756	1608
320	758	1604
321	761	1602
322	762	1599
323	765	1596
324	767	1593
325	768	1589
326	771	1588
327	774	1586
328	776	1583
329	778	1580
330	781	1579
331	785	1579
332	786	1576
333	789	1575
334	792	1573
335	794	1571
336	797	1568
337	800	1567
338	802	1564
339	805	1563
340	807	1561
341	810	1559
342	813	1558
343	815	1555
344	817	1551
345	819	1548
346	821	1545
347	823	1542
348	824	1538
349	826	1535
350	829	1532
351	831	1531
352	834	1529
353	836	1527
354	840	1526
355	843	1525
356	846	1524
357	849	1522
358	852	1521
359	854	1519
360	857	1517
361	858	1513
362	860	1510
363	863	1507
364	864	1504
365	866	1500
366	868	1497
367	870	1494
368	871	1490
369	873	1487
370	875	1484
371	877	1480
372	878	1477
373	880	1473
374	882	1470
375	883	1466
376	885	1462
377	886	1459
378	888	1455
379	890	1452
380	891	1449
381	893	1445
382	895	1442
383	897	1439
384	899	1437
385	902	1435
386	905	1433
387	908	1432
388	912	1432
389	913	1429
390	916	1427
391	918	1424
392	920	1422
393	923	1420
394	926	1418
395	928	1416
396	931	1414
397	934	1413
398	938	1413
399	942	1413
400	944	1410
401	946	1407
402	947	1404
403	949	1400
404	951	1397
405	952	1393
406	954	1390
407	955	1387
408	957	1384
409	959	1381
410	962	1378
411	964	1375
412	965	1372
413	967	1369
414	969	1366
415	971	1363
416	972	1360
417	974	1357
418	976	1354
419	978	1351
420	980	1348
421	982	1345
422	983	1341
423	985	1338
424	987	1335
425	989	1333
426	993	1333
427	996	1331
428	998	1328
429	1000	1326
430	1003	1324
431	1005	1321
432	1007	1319
433	1009	1316
434	1011	1313
435	1013	1310
436	1015	1308
437	1018	1307
438	1021	1304
439	1022	1301
440	1024	1298
441	1025	1295
442	1027	1291
443	1029	1288
444	1033	1288
445	1034	1285
446	1036	1281
447	1037	1278
448	1039	1275
449	1041	1272
450	1043	1269
451	1044	1266
452	1047	1264
453	1049	1262
454	1051	1259
455	1053	1257
456	1058	1257
457	1061	1255
458	1062	1252
459	1065	1250
460	1067	1248
461	1069	1245
462	1071	1243
463	1073	1240
464	1075	1237
465	1078	1236
466	1081	1234
467	1084	1232
468	1086	1229
469	1087	1226
470	1089	1223
471	1091	1221
472	1093	1218
473	1095	1215
474	1097	1212
475	1098	1209
476	1100	1206
477	1103	1205
478	1106	1204
479	1109	1202
480	1112	1200
481	1115	1199
482	1118	1197
483	1120	1194
484	1123	1192
485	1127	1192
486	1129	1190
487	1131	1187
488	1133	1184
489	1135	1181
490	1138	1179
491	1140	1177
492	1142	1174
493	1144	1172
494	1147	1170
495	1149	1167
496	1150	1164
497	1152	1161
498	1154	1159
499	1156	1156
500	1158	1153
501	1159	1150
502	1161	1147
503	1164	1146
504	1167	1144
505	1170	1142
506	1173	1140
507	1175	1137
508	1177	1135
509	1180	1134
510	1182	1131
511	1184	1129
512	1198	1137
513	1200	1134
514	1201	1131
515	1204	1129
516	1207	1127
517	1209	1125
518	1211	1122
519	1213	1120
520	1215	1117
521	1216	1114
522	1218	1111
523	1220	1108
524	1222	1105
525	1223	1102
526	1226	1100
527	1228	1097
528	1229	1094
529	1231	1092
530	1235	1091
531	1238	1089
532	1241	1087
533	1244	1085
534	1246	1083
535	1248	1080
536	1250	1078
537	1253	1076
538	1256	1074
539	1258	1072
540	1260	1069
541	1262	1066
542	1264	1064
543	1266	1061
544	1269	1059
545	1272	1058
546	1276	1056
547	1278	1054
548	1284	1055
549	1288	1054
550	1291	1052
551	1293	1049
552	1295	1046
553	1297	1044
554	1299	1041
555	1302	1040
556	1305	1037
557	1308	1036
558	1312	1035
559	1316	1034
560	1318	1032
561	1320	1029
562	1322	1026
563	1324	1023
564	1325	1020
565	1327	1017
566	1329	1015
567	1330	1012
568	1333	1010
569	1335	1007
570	1337	1005
571	1339	1002
572	1341	999
573	1343	996
574	1344	994
575	1346	991
576	1348	988
577	1350	985
578	1351	982
579	1353	980
580	1355	977
581	1357	974
582	1359	972
583	1361	970
584	1364	967
585	1366	965
586	1368	962
587	1370	960
588	1372	958
589	1375	955
590	1377	953
591	1380	951
592	1384	950
593	1388	948
594	1390	946
595	1392	944
596	1397	943
597	1401	941
598	1403	939
599	1405	937
600	1407	934
601	1410	932
602	1412	930
603	1415	927
604	1416	924
605	1418	922
606	1420	919
607	1422	916
608	1424	914
609	1425	911
610	1427	908
611	1428	905
612	1430	903
613	1432	900
614	1433	897
615	1435	895
616	1437	892
617	1439	889
618	1440	886
619	1443	884
620	1445	881
621	1446	879
622	1448	876
623	1450	873
624	1452	871
625	1454	869
626	1456	866
627	1458	863
628	1459	860
629	1461	858
630	1463	855
631	1465	853
632	1466	850
633	1468	847
634	1470	845
635	1472	842
636	1473	839
637	1475	837
638	1477	834
639	1479	831
640	1480	829
641	1482	826
642	1483	823
643	1485	821
644	1487	818
645	1489	815
646	1490	813
647	1492	810
648	1495	808
649	1497	806
650	1499	803
651	1502	801
652	1505	799
653	1507	797
654	1510	795
655	1513	793
656	1515	791
657	1518	789
658	1521	787
659	1523	785
660	1526	782
661	1528	780
662	1530	777
663	1532	775
664	1533	772
665	1536	770
666	1538	767
667	1539	765
668	1541	762
669	1543	760
670	1546	758
671	1548	755
672	1549	753
673	1551	750
674	1553	748
675	1555	745
676	1557	742
677	1559	740
678	1561	738
679	1562	735
680	1564	732
681	1565	730
682	1567	727
683	1569	725
684	1572	723
685	1574	720
686	1576	718
687	1578	715
688	1581	713
689	1583	711
690	1585	709
691	1588	706
692	1591	704
693	1594	703
694	1598	701
695	1600	698
696	1602	696
697	1605	694
698	1610	693
699	1612	691
700	1614	688
701	1617	686
702	1618	683
703	1620	681
704	1623	679
705	1625	676
706	1627	674
707	1630	672
708	1635	671
709	1637	668
710	1639	666
711	1641	664
712	1643	661
713	1645	659
714	1649	657
715	1654	656
716	1657	654
717	1659	651
718	1662	649
719	1666	647
720	1671	646
721	1675	645
722	1677	642
723	1679	640
724	1682	638
725	1685	636
726	1689	634
727	1693	632
728	1697	630
729	1700	629
730	1703	626
731	1706	624
732	1708	622
733	1711	620
734	1714	618
735	1717	616
736	1721	614
737	1724	612
738	1728	610
739	1732	608
740	1735	606
741	1740	605
742	1743	603
743	1746	600
744	1749	598
745	1751	596
746	1756	594
747	1761	593
748	1764	591
749	1766	588
750	1768	586
751	1769	583
752	1772	581
753	1774	579
754	1778	577
755	1782	575
756	1784	572
757	1787	570
758	1790	568
759	1793	566
760	1796	564
761	1799	561
762	1801	559
763	1804	557
764	1808	555
765	1811	553
766	1813	551
767	1816	548
768	1821	547
769	1825	545
770	1827	542
771	1829	540
772	1831	537
773	1833	535
774	1836	533
775	1839	530
776	1843	528
777	1846	526
778	1849	524
779	1853	522
780	1855	520
781	1859	518
782	1862	516
783	1866	514
784	1869	511
785	1872	509
786	1876	507
787	1878	505
788	1882	503
789	1885	501
